ORF	KEGGID	Pathway
YAL062W	250	Alanine, aspartate and glutamate metabolism
YAL062W	330	Arginine and proline metabolism
YAL062W	910	Nitrogen metabolism
YAL062W	1100	Metabolic pathways
YAL061W	650	Butanoate metabolism
YAL060W	650	Butanoate metabolism
YAL058W	4141	Protein processing in endoplasmic reticulum
YAL058W	4145	Phagosome
YAL054C	10	Glycolysis / Gluconeogenesis
YAL054C	620	Pyruvate metabolism
YAL054C	640	Propanoate metabolism
YAL054C	680	Methane metabolism
YAL054C	1100	Metabolic pathways
YAL054C	1110	Biosynthesis of secondary metabolites
YAL041W	4011	MAPK signaling pathway - yeast
YAL040C	4111	Cell cycle - yeast
YAL040C	4113	Meiosis - yeast
YAL039C	860	Porphyrin and chlorophyll metabolism
YAL038W	10	Glycolysis / Gluconeogenesis
YAL038W	230	Purine metabolism
YAL038W	620	Pyruvate metabolism
YAL038W	1100	Metabolic pathways
YAL038W	1110	Biosynthesis of secondary metabolites
YAL035W	3013	RNA transport
YAL033W	3008	Ribosome biogenesis in eukaryotes
YAL033W	3013	RNA transport
YAL032C	3040	Spliceosome
YAL030W	4130	SNARE interactions in vesicular transport
YAL024C	4111	Cell cycle - yeast
YAL023C	514	Other types of O-glycan biosynthesis
YAL021C	3018	RNA degradation
YAL016W	3015	mRNA surveillance pathway
YAL016W	4111	Cell cycle - yeast
YAL016W	4113	Meiosis - yeast
YAL015C	3410	Base excision repair
YAL014C	4130	SNARE interactions in vesicular transport
YAL012W	260	Glycine, serine and threonine metabolism
YAL012W	270	Cysteine and methionine metabolism
YAL012W	450	Selenocompound metabolism
YAL012W	910	Nitrogen metabolism
YAL012W	1100	Metabolic pathways
tP(UGG)A	970	Aminoacyl-tRNA biosynthesis
YAL005C	3040	Spliceosome
YAL005C	4141	Protein processing in endoplasmic reticulum
YAL005C	4144	Endocytosis
YAR007C	3030	DNA replication
YAR007C	3420	Nucleotide excision repair
YAR007C	3430	Mismatch repair
YAR007C	3440	Homologous recombination
tA(UGC)A	970	Aminoacyl-tRNA biosynthesis
YAR015W	230	Purine metabolism
YAR015W	1100	Metabolic pathways
YAR015W	1110	Biosynthesis of secondary metabolites
YAR019C	4111	Cell cycle - yeast
YAR019C	4113	Meiosis - yeast
tL(CAA)A	970	Aminoacyl-tRNA biosynthesis
tS(AGA)A	970	Aminoacyl-tRNA biosynthesis
YAR035W	4146	Peroxisome
YAR071W	740	Riboflavin metabolism
YJL221C	52	Galactose metabolism
YJL221C	500	Starch and sucrose metabolism
YJL221C	1100	Metabolic pathways
YJL219W	4113	Meiosis - yeast
YJL218W	350	Tyrosine metabolism
YJL218W	903	Limonene and pinene degradation
YJL216C	52	Galactose metabolism
YJL216C	500	Starch and sucrose metabolism
YJL216C	1100	Metabolic pathways
YJL214W	4113	Meiosis - yeast
YJL210W	4146	Peroxisome
YJL200C	20	Citrate cycle (TCA cycle)
YJL200C	630	Glyoxylate and dicarboxylate metabolism
YJL200C	1100	Metabolic pathways
YJL200C	1110	Biosynthesis of secondary metabolites
tT(AGU)J	970	Aminoacyl-tRNA biosynthesis
YJL196C	1040	Biosynthesis of unsaturated fatty acids
YJL194W	4111	Cell cycle - yeast
YJL194W	4113	Meiosis - yeast
YJL191W	3010	Ribosome
YJL190C	3010	Ribosome
YJL189W	3010	Ribosome
YJL187C	4111	Cell cycle - yeast
YJL187C	4113	Meiosis - yeast
YJL186W	513	Various types of N-glycan biosynthesis
YJL186W	1100	Metabolic pathways
YJL183W	513	Various types of N-glycan biosynthesis
YJL183W	1100	Metabolic pathways
YJL177W	3010	Ribosome
YJL168C	310	Lysine degradation
YJL167W	900	Terpenoid backbone biosynthesis
YJL167W	1100	Metabolic pathways
YJL167W	1110	Biosynthesis of secondary metabolites
YJL166W	190	Oxidative phosphorylation
YJL166W	1100	Metabolic pathways
YJL164C	4113	Meiosis - yeast
tE(UUC)J	970	Aminoacyl-tRNA biosynthesis
YJL157C	4011	MAPK signaling pathway - yeast
YJL157C	4111	Cell cycle - yeast
YJL155C	51	Fructose and mannose metabolism
YJL153C	562	Inositol phosphate metabolism
YJL153C	1100	Metabolic pathways
YJL153C	1110	Biosynthesis of secondary metabolites
YJL148W	230	Purine metabolism
YJL148W	240	Pyrimidine metabolism
YJL148W	1100	Metabolic pathways
YJL148W	3020	RNA polymerase
YJL140W	230	Purine metabolism
YJL140W	240	Pyrimidine metabolism
YJL140W	1100	Metabolic pathways
YJL140W	3020	RNA polymerase
YJL138C	3013	RNA transport
YJL136C	3010	Ribosome
YJL134W	600	Sphingolipid metabolism
YJL132W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YJL130C	240	Pyrimidine metabolism
YJL130C	250	Alanine, aspartate and glutamate metabolism
YJL130C	1100	Metabolic pathways
YJL128C	4011	MAPK signaling pathway - yeast
YJL124C	3018	RNA degradation
YJL121C	30	Pentose phosphate pathway
YJL121C	40	Pentose and glucuronate interconversions
YJL121C	1100	Metabolic pathways
